timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1736855294245,0.800,0.400,9.100,-0.974,3.276,-0.571
1736855294262,-0.200,-0.600,10.600,-0.822,3.431,-0.442
1736855294295,-0.700,-0.600,11.400,-0.422,1.670,-0.059
1736855294311,-2.400,-0.800,10.800,0.654,-0.489,0.353
1736855294345,-3.200,-1.000,10.400,1.150,-1.051,0.410
1736855294361,-4.200,-0.500,11.600,1.391,-2.037,0.344
1736855294395,-3.800,0.100,11.600,1.283,-2.414,0.356
1736855294411,-3.300,0.100,10.800,1.021,-2.939,0.384
1736855294445,-2.400,0.500,9.500,1.087,-3.170,0.421
1736855294462,-2.000,0.700,9.300,1.792,-3.824,0.588
1736855294495,-0.800,1.100,9.500,2.077,-3.857,0.648
1736855294512,-0.300,1.200,10.000,1.485,-2.822,0.705
1736855294545,0.100,1.600,10.900,0.834,-2.149,0.698
1736855294562,0.300,1.700,10.000,-0.007,-0.906,0.436
1736855294595,1.600,2.000,7.800,-0.101,-0.475,0.253
1736855294612,2.200,2.100,7.500,-0.208,0.037,0.058
1736855294645,3.400,2.400,8.400,-0.209,0.072,0.051
1736855294662,3.700,2.500,8.600,0.037,-0.127,0.115
1736855294695,3.300,2.600,8.300,0.206,-0.133,0.154
1736855294712,3.100,2.600,8.700,0.286,-0.091,0.183
1736855294745,2.800,2.300,9.500,0.199,-0.010,0.204
1736855294761,2.800,2.100,9.500,0.009,0.103,0.204
1736855294795,2.900,2.300,9.100,-0.014,0.113,0.190
1736855294812,2.900,2.400,8.800,0.033,0.138,0.206
1736855294845,3.000,2.500,8.600,0.056,0.168,0.234
1736855294861,3.100,2.500,8.700,0.040,0.154,0.195
1736855294895,3.000,2.400,8.800,0.005,0.195,0.143
1736855294912,3.100,2.300,8.900,-0.082,0.288,0.047
1736855294945,3.300,2.500,8.900,-0.129,0.267,0.023
1736855294961,3.300,2.600,9.000,-0.171,0.258,0.009
1736855294995,3.100,2.600,9.100,-0.183,0.288,-0.007
1736855295012,3.100,2.500,9.100,-0.182,0.405,-0.047
1736855295045,2.900,2.400,8.900,-0.190,0.403,-0.037
1736855295062,2.900,2.400,8.900,-0.265,0.312,-0.014
1736855295095,2.900,2.400,9.200,-0.279,0.319,-0.021
1736855295128,2.600,2.400,9.300,-0.314,0.428,-0.038
1736855295145,2.500,2.100,9.200,-0.344,0.506,-0.070
1736855295161,2.400,2.000,9.200,-0.375,0.513,-0.084
1736855295195,2.300,2.000,9.100,-0.354,0.461,-0.061
1736855295212,2.500,2.000,9.300,-0.283,0.447,-0.065
1736855295245,2.200,2.100,9.600,-0.278,0.422,-0.066
1736855295261,2.000,2.000,9.700,-0.255,0.286,-0.038
1736855295295,1.900,1.600,9.300,-0.222,0.199,-0.038
1736855295311,1.900,1.600,9.400,-0.066,-0.073,-0.077
1736855295345,1.900,1.600,9.800,0.012,-0.131,-0.087
1736855295362,1.900,1.600,10.000,0.065,0.002,-0.021
1736855295395,2.000,1.500,10.100,0.037,0.030,0.030
1736855295412,1.800,1.500,9.800,0.016,-0.106,0.049
1736855295445,1.300,1.300,9.500,0.030,-0.161,0.052
1736855295462,1.200,1.500,9.400,0.106,-0.414,0.084
1736855295495,1.700,1.700,9.400,0.154,-0.517,0.063
1736855295512,1.800,1.700,9.300,0.120,-0.311,0.014
1736855295545,1.800,1.700,9.600,0.059,-0.124,-0.007
1736855295578,1.900,1.700,9.600,-0.026,0.002,-0.012
1736855295595,2.100,1.700,9.200,-0.003,-0.044,0.005
1736855295612,2.300,1.700,9.300,0.077,-0.087,0.028
1736855295645,2.200,1.900,9.500,0.094,-0.066,0.054
1736855295678,2.100,1.800,9.500,0.103,-0.082,0.075
1736855295695,2.200,1.700,9.400,0.098,-0.066,0.084
1736855295728,2.200,1.700,9.500,0.026,-0.073,0.068
1736855295745,2.200,1.700,9.500,-0.037,-0.049,0.047
1736855295778,2.100,1.700,9.400,-0.082,-0.068,0.045
1736855295795,2.200,1.700,9.300,-0.042,-0.103,0.042
1736855295828,2.200,1.800,9.300,0.054,-0.162,0.033
1736855295845,2.200,1.700,9.400,0.077,-0.113,0.021
1736855295861,2.200,1.600,9.400,0.035,0.031,0.002
1736855295895,2.300,1.700,9.400,-0.016,0.063,-0.002
1736855295928,2.400,1.700,9.400,-0.061,0.024,0.000
1736855295945,2.400,1.700,9.300,-0.037,-0.007,0.002
1736855295978,2.400,1.700,9.200,0.038,0.047,0.007
1736855295995,2.400,1.800,9.300,0.035,0.115,0.026
1736855296028,2.400,1.700,9.500,-0.002,0.101,0.049
1736855296045,2.300,1.700,9.600,0.010,0.035,0.042
1736855296078,2.200,1.700,9.500,0.045,-0.122,0.038
1736855296095,2.200,1.700,9.400,-0.243,-0.524,-0.016
1736855296128,2.300,1.700,9.500,-0.194,0.332,-0.061
1736855296145,2.100,1.800,9.300,0.138,0.600,-0.044
1736855296178,2.500,1.900,7.800,0.271,0.019,0.119
1736855296195,2.600,1.300,9.800,0.201,-0.047,0.084
1736855296228,2.300,1.300,10.700,-0.023,-0.126,-0.014
1736855296245,2.100,1.700,9.500,-0.101,-0.154,-0.028
1736855296263,2.300,1.800,9.000,-0.127,-0.136,-0.033
1736855296295,2.100,1.800,9.100,-0.059,-0.110,-0.037
1736855296328,2.000,1.800,9.300,0.099,-0.035,-0.017
1736855296345,2.200,1.700,9.400,0.141,-0.019,-0.007
1736855296378,2.300,1.700,9.500,0.075,0.061,0.010
1736855296395,2.500,1.700,9.700,,,
1736855296428,2.500,1.700,9.700,,,
1736855296445,2.500,1.700,9.200,,,
